システム,算出方法,テスト仕様書_テストケース数_(予定),テスト仕様書_テストケース数_(実績),テスト仕様書_作成工数_(人日),テスト仕様書_ページ数_(ページ),テスト仕様書_文字数_(文字),テスト仕様書/テスト結果(成績表)レビュー_レビュー指摘効率,テスト仕様書/テスト結果(成績表)レビュー_合計_回数,テスト仕様書/テスト結果(成績表)レビュー_合計_時間,テスト仕様書/テスト結果(成績表)レビュー_合計_指摘数,コード行数,テストケース密度_密度,不具合密度_密度,不具合密度_件数
システム１,中央値,919,919,0.0300000000,44.0000000000,145055.0000000000,0.0000000000,1.0000000000,0.6416666667,0.0000000000,28514.0000000000,32.2297818615,0.2104229501,6
システム１,平均値,919,919,1.1087500000,44.0000000000,145055.0000000000,46.2727511923,1.1666666667,1.9555555556,0.8333333333,28514.0000000000,32.2297818615,0.2104229501,6
システム１,合計値,919,919,8.8700000000,44.0000000000,145055.0000000000,,21.0000000000,35.2000000000,15.0000000000,28514.0000000000,32.2297818615,0.2104229501,6
システム５,中央値,198,197,0.5000000000,7.0000000000,21023.0000000000,8.0000000000,1.0000000000,20.0000000000,1.0000000000,,0.0000000000,,0
システム５,平均値,198,197,0.5000000000,7.0000000000,21023.0000000000,8.0000000000,1.0000000000,20.0000000000,1.0000000000,,0.0000000000,,0
システム５,合計値,198,197,0.5000000000,7.0000000000,21023.0000000000,,1.0000000000,20.0000000000,1.0000000000,,0.0000000000,,0
システム６,中央値,210,210,1.2218181818,11.0000000000,6600.0000000000,0.0000000000,5.0000000000,5.1302211302,0.0000000000,160571.0000000000,11.9884661614,0.0685055209,11
システム６,平均値,275,275,1.6000000000,18.7142857143,11228.5714285714,0.0000000000,5.0000000000,7.6869076869,0.0000000000,160571.0000000000,11.9884661614,0.0685055209,11
システム６,合計値,1925,1925,11.2000000000,131.0000000000,78600.0000000000,,35.0000000000,53.8083538084,0.0000000000,160571.0000000000,11.9884661614,0.0685055209,11
